id,name,type,ordered,laid_down,commissioned,launched,fate,fate_type,fate_survivors,fate_lat,fat_lon,fate_dead,shipyard,ships_sunk
169,U-169,IXC/40,8/15/1940,5/15/1941,11/16/1942,6/6/1942,3/27/1943,Sunk,0,60.54,-15.25,54,"Deutsche Schiff und Maschinenbau AG, Bremen",0
170,U-170,IXC/40,8/15/1940,5/21/1941,1/19/1943,6/6/1942,5/9/1945,Surrendered,0,,,0,"Deutsche Schiff und Maschinenbau AG, Bremen",1
171,U-171,IXC,12/23/1939,12/1/1940,10/25/1941,7/22/1941,10/9/1942,Sunk,30,47.39,-3.34,22,"AG Weser, Bremen",3
172,U-172,IXC,12/23/1939,12/11/1940,11/5/1941,7/31/1941,12/13/1943,Sunk,46,26.29,-29.58,13,"AG Weser, Bremen",26
173,U-173,IXC,12/23/1939,12/21/1940,11/15/1941,8/11/1941,11/16/1942,Sunk,0,33.40,-7.35,57,"AG Weser, Bremen",1
174,U-174,IXC,12/23/1939,1/2/1941,11/26/1941,8/21/1941,4/27/1943,Sunk,0,43.35,-56.18,53,"AG Weser, Bremen",5
175,U-175,IXC,12/23/1939,1/30/1941,12/5/1941,9/2/1941,4/17/1943,Sunk,41,47.53,-22.04,13,"AG Weser, Bremen",10
176,U-176,IXC,12/23/1939,2/6/1941,12/15/1941,9/12/1941,5/15/1943,Sunk,0,23.21,-80.18,53,"AG Weser, Bremen",11
177,U-177,IXD2,5/28/1940,11/25/1940,3/14/1942,10/1/1941,2/6/1944,Sunk,15,-10.35,-23.15,50,"AG Weser, Bremen",14
178,U-178,IXD2,5/28/1940,12/24/1940,2/14/1942,10/25/1941,8/25/1944,Scuttled,0,,,0,"AG Weser, Bremen",13
179,U-179,IXD2,5/28/1940,1/15/1941,3/7/1942,11/18/1941,10/8/1942,Sunk,0,-33.28,17.05,61,"AG Weser, Bremen",1
180,U-180,IXD1,5/28/1940,2/25/1941,5/16/1942,12/10/1941,8/23/1944,Missing,0,44.00,-2.00,0,"AG Weser, Bremen",2
181,U-181,IXD2,8/15/1940,3/15/1941,5/9/1942,12/30/1941,5/5/1945,Given,0,,,0,"AG Weser, Bremen",27
182,U-182,IXD2,8/15/1940,4/7/1941,6/30/1942,3/3/1942,5/16/1943,Sunk,0,33.55,-20.35,61,"AG Weser, Bremen",5
183,U-183,IXC/40,8/15/1940,5/28/1941,4/1/1942,1/9/1942,4/23/1945,Sunk,0,-4.56,112.55,54,"AG Weser, Bremen",4
184,U-184,IXC/40,8/15/1940,6/10/1941,5/29/1942,2/21/1942,11/21/1942,Missing,0,,,50,"AG Weser, Bremen",1
185,U-185,IXC/40,8/15/1940,7/1/1941,6/13/1942,3/2/1942,8/24/1943,Sunk,22,27.00,-37.06,29,"AG Weser, Bremen",9
186,U-186,IXC/40,8/15/1940,7/24/1941,7/10/1942,3/11/1942,5/12/1943,Sunk,0,41.54,-31.49,53,"AG Weser, Bremen",3
187,U-187,IXC/40,8/15/1940,8/6/1941,7/23/1942,3/16/1942,2/4/1943,Sunk,45,50.12,-36.35,9,"AG Weser, Bremen",0
188,U-188,IXC/40,8/15/1940,8/18/1941,8/5/1942,3/31/1942,8/20/1944,Decommissioned,0,,,0,"AG Weser, Bremen",8
189,U-189,IXC/40,11/4/1940,9/12/1941,8/15/1942,5/1/1942,4/23/1943,Sunk,0,59.50,-34.43,54,"AG Weser, Bremen",0
190,U-190,IXC/40,11/4/1940,10/7/1941,9/24/1942,6/8/1942,5/14/1945,Surrendered,0,,,0,"AG Weser, Bremen",1
191,U-191,IXC/40,11/4/1940,11/2/1941,10/20/1942,7/3/1942,4/23/1943,Sunk,0,56.45,-34.25,55,"AG Weser, Bremen",1
192,U-192,IXC/40,11/4/1940,11/27/1941,11/16/1942,7/30/1942,5/6/1943,Sunk,0,53.06,-45.02,55,"AG Weser, Bremen",0
193,U-193,IXC/40,11/4/1940,12/22/1941,12/10/1942,8/24/1942,4/24/1944,Missing,0,,,59,"AG Weser, Bremen",1
194,U-194,IXC/40,11/4/1940,1/17/1942,1/8/1943,9/22/1942,6/24/1943,Sunk,0,59.00,-26.18,54,"AG Weser, Bremen",0
195,U-195,IXD1,11/4/1940,5/15/1941,9/5/1942,4/8/1942,5/5/1945,Given,0,,,0,"AG Weser, Bremen",2
196,U-196,IXD2,11/4/1940,6/10/1941,9/11/1942,4/24/1942,12/1/1944,Missing,0,,,65,"AG Weser, Bremen",3
197,U-197,IXD2,11/4/1940,7/5/1941,10/10/1942,5/21/1942,8/20/1943,Sunk,0,-28.40,42.36,67,"AG Weser, Bremen",3
198,U-198,IXD2,11/4/1940,8/1/1941,11/3/1942,6/15/1942,8/12/1944,Sunk,0,-3.35,52.49,66,"AG Weser, Bremen",11
199,U-199,IXD2,11/4/1940,10/10/1941,11/28/1942,7/11/1942,7/31/1943,Sunk,12,-23.54,-42.54,49,"AG Weser, Bremen",2
200,U-200,IXD2,11/4/1940,11/3/1941,12/22/1942,8/10/1942,6/24/1943,Sunk,0,58.15,-25.25,68,"AG Weser, Bremen",0
201,U-201,VIIC,9/23/1939,1/20/1940,1/25/1941,12/7/1940,2/17/1943,Sunk,0,50.50,-40.50,49,"F. Krupp Germaniawerft AG, Kiel",22
202,U-202,VIIC,9/23/1939,3/18/1940,3/22/1941,2/10/1941,6/2/1943,Sunk,30,56.12,-39.52,18,"F. Krupp Germaniawerft AG, Kiel",9
203,U-203,VIIC,9/23/1939,3/28/1940,2/18/1941,1/4/1941,4/25/1943,Sunk,38,55.05,-42.25,10,"F. Krupp Germaniawerft AG, Kiel",21
204,U-204,VIIC,9/23/1939,4/22/1940,3/8/1941,1/23/1941,10/19/1941,Sunk,0,35.46,-6.02,46,"F. Krupp Germaniawerft AG, Kiel",4
205,U-205,VIIC,10/16/1939,6/19/1940,5/3/1941,3/20/1941,2/17/1943,Damaged,0,33.08,22.18,0,"F. Krupp Germaniawerft AG, Kiel",1
206,U-206,VIIC,10/16/1939,6/17/1940,5/17/1941,4/4/1941,11/29/1941,Missing,0,47.05,-2.40,46,"F. Krupp Germaniawerft AG, Kiel",2
207,U-207,VIIC,10/16/1939,8/14/1940,6/7/1941,4/24/1941,9/11/1941,Sunk,0,63.59,-34.48,41,"F. Krupp Germaniawerft AG, Kiel",2
208,U-208,VIIC,10/16/1939,8/5/1940,7/5/1941,5/21/1941,12/7/1941,Sunk,0,35.51,-7.45,45,"F. Krupp Germaniawerft AG, Kiel",1
209,U-209,VIIC,10/16/1939,11/28/1940,10/11/1941,8/28/1941,5/6/1943,Missing,0,52.00,-38.00,0,"F. Krupp Germaniawerft AG, Kiel",4
210,U-210,VIIC,10/16/1939,3/15/1941,2/21/1942,12/23/1941,8/6/1942,Sunk,37,54.24,-39.37,6,"F. Krupp Germaniawerft AG, Kiel",0
211,U-211,VIIC,10/16/1939,3/29/1941,3/7/1942,1/15/1942,11/19/1943,Sunk,0,40.15,-19.18,54,"F. Krupp Germaniawerft AG, Kiel",1
212,U-212,VIIC,10/16/1939,5/17/1941,4/25/1942,3/11/1942,7/21/1944,Sunk,0,50.27,-0.13,49,"F. Krupp Germaniawerft AG, Kiel",1
213,U-213,VIID,2/16/1940,10/1/1940,8/30/1941,7/24/1941,7/31/1942,Sunk,0,36.45,-22.50,50,"F. Krupp Germaniawerft AG, Kiel",0
214,U-214,VIID,2/16/1940,10/5/1940,11/1/1941,9/18/1941,7/26/1944,Sunk,0,49.58,-3.30,48,"F. Krupp Germaniawerft AG, Kiel",3
215,U-215,VIID,2/16/1940,11/15/1940,11/22/1941,10/9/1941,7/3/1942,Sunk,0,41.48,-66.38,48,"F. Krupp Germaniawerft AG, Kiel",1
216,U-216,VIID,2/16/1940,1/1/1941,12/15/1941,10/23/1941,10/20/1942,Sunk,0,48.21,-19.25,45,"F. Krupp Germaniawerft AG, Kiel",1
217,U-217,VIID,2/16/1940,1/30/1941,1/31/1942,11/15/1941,6/5/1943,Sunk,0,30.18,-42.50,50,"F. Krupp Germaniawerft AG, Kiel",3
218,U-218,VIID,2/16/1940,3/17/1941,1/24/1942,12/5/1941,5/12/1945,Surrendered,0,,,0,"F. Krupp Germaniawerft AG, Kiel",2
219,U-219,XB,8/6/1940,5/31/1941,12/12/1942,10/6/1942,5/5/1945,Given,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
220,U-220,XB,8/6/1940,6/16/1941,3/27/1943,1/16/1943,10/28/1943,Sunk,0,48.53,-33.30,56,"F. Krupp Germaniawerft AG, Kiel",2
221,U-221,VIIC,8/15/1940,6/16/1941,5/9/1942,3/14/1942,9/27/1943,Sunk,0,47.00,-18.00,50,"F. Krupp Germaniawerft AG, Kiel",11
222,U-222,VIIC,8/15/1940,6/16/1941,5/23/1942,3/28/1942,9/2/1942,Sunk,3,54.25,19.30,42,"F. Krupp Germaniawerft AG, Kiel",0
223,U-223,VIIC,8/15/1940,7/15/1941,6/6/1942,4/16/1942,3/30/1944,Sunk,27,38.48,14.10,23,"F. Krupp Germaniawerft AG, Kiel",2
224,U-224,VIIC,8/15/1940,7/15/1941,6/20/1942,5/7/1942,1/13/1943,Sunk,0,36.28,0.49,45,"F. Krupp Germaniawerft AG, Kiel",2
225,U-225,VIIC,8/15/1940,9/3/1941,7/11/1942,5/28/1942,2/22/1943,Sunk,0,48.37,-30.35,46,"F. Krupp Germaniawerft AG, Kiel",1
226,U-226,VIIC,8/15/1940,8/1/1941,8/1/1942,6/18/1942,11/6/1943,Sunk,0,44.49,-41.13,51,"F. Krupp Germaniawerft AG, Kiel",1
227,U-227,VIIC,12/7/1940,10/18/1941,8/22/1942,7/9/1942,4/30/1943,Sunk,0,64.05,-6.40,49,"F. Krupp Germaniawerft AG, Kiel",0
228,U-228,VIIC,12/7/1940,10/18/1941,9/12/1942,7/30/1942,10/4/1944,Sunk,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
229,U-229,VIIC,12/7/1940,11/3/1941,10/3/1942,8/20/1942,9/22/1943,Sunk,0,54.36,-36.25,50,"F. Krupp Germaniawerft AG, Kiel",2
230,U-230,VIIC,12/7/1940,11/25/1941,10/24/1942,9/10/1942,8/21/1944,Grounded,50,43.04,5.54,0,"F. Krupp Germaniawerft AG, Kiel",1
231,U-231,VIIC,12/7/1940,1/30/1942,11/14/1942,10/1/1942,1/13/1944,Sunk,43,44.15,-20.38,7,"F. Krupp Germaniawerft AG, Kiel",0
232,U-232,VIIC,12/7/1940,1/17/1942,11/28/1942,10/15/1942,7/9/1943,Sunk,0,39.48,-14.22,46,"F. Krupp Germaniawerft AG, Kiel",0
233,U-233,XB,12/7/1940,8/15/1941,9/22/1943,5/8/1943,7/5/1944,Sunk,29,42.16,-59.49,32,"F. Krupp Germaniawerft AG, Kiel",0
234,U-234,XB,12/7/1940,10/1/1941,3/2/1944,12/23/1943,5/19/1945,Surrendered,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
235,U-235,VIIC,1/20/1941,2/25/1942,12/19/1942,11/4/1942,5/14/1943,Sunk,0,,,2,"F. Krupp Germaniawerft AG, Kiel",0
236,U-236,VIIC,1/20/1941,3/23/1942,1/9/1943,11/24/1942,5/14/1943,Sunk,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
237,U-237,VIIC,1/20/1941,4/23/1942,1/30/1943,12/17/1942,5/14/1943,Sunk,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
238,U-238,VIIC,1/20/1941,4/21/1942,2/20/1943,1/7/1943,2/9/1944,Sunk,0,49.45,-16.07,50,"F. Krupp Germaniawerft AG, Kiel",4
239,U-239,VIIC,1/20/1941,5/14/1942,3/13/1943,1/28/1943,8/5/1944,Decommissioned,0,,,1,"F. Krupp Germaniawerft AG, Kiel",0
240,U-240,VIIC,1/20/1941,5/14/1942,4/3/1943,2/18/1943,5/15/1944,Missing,0,,,50,"F. Krupp Germaniawerft AG, Kiel",0
241,U-241,VIIC,4/10/1941,9/4/1942,7/24/1943,6/25/1943,5/18/1944,Sunk,0,63.36,1.42,51,"F. Krupp Germaniawerft AG, Kiel",0
242,U-242,VIIC,4/10/1941,9/30/1942,8/14/1943,7/20/1943,4/5/1945,Sunk,0,52.02,-5.46,44,"F. Krupp Germaniawerft AG, Kiel",2
243,U-243,VIIC,4/10/1941,10/28/1942,10/2/1943,9/2/1943,7/8/1944,Sunk,38,47.06,-6.40,11,"F. Krupp Germaniawerft AG, Kiel",0
244,U-244,VIIC,4/10/1941,10/24/1942,10/9/1943,9/2/1943,5/14/1945,Surrendered,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
245,U-245,VIIC,4/10/1941,11/18/1942,12/18/1943,11/25/1943,5/9/1945,Surrendered,0,,,0,"F. Krupp Germaniawerft AG, Kiel",3
246,U-246,VIIC,4/10/1941,11/30/1942,1/11/1944,12/7/1943,3/17/1945,Sunk,0,53.40,-4.53,48,"F. Krupp Germaniawerft AG, Kiel",0
247,U-247,VIIC,6/5/1941,12/16/1942,10/23/1943,9/23/1943,9/1/1944,Sunk,0,49.54,-5.49,52,"F. Krupp Germaniawerft AG, Kiel",1
248,U-248,VIIC,6/5/1941,12/19/1942,11/6/1943,10/7/1943,1/16/1945,Sunk,0,47.43,-26.37,47,"F. Krupp Germaniawerft AG, Kiel",0
249,U-249,VIIC,6/5/1941,1/23/1943,11/20/1943,10/23/1943,5/10/1945,Surrendered,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
250,U-250,VIIC,6/5/1941,1/9/1943,12/12/1943,11/11/1943,7/30/1944,Sunk,6,60.27,28.24,46,"F. Krupp Germaniawerft AG, Kiel",1
251,U-251,VIIC,9/23/1939,10/18/1940,9/20/1941,7/26/1941,4/19/1945,Sunk,4,56.37,11.51,39,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",2
252,U-252,VIIC,9/23/1939,11/1/1940,10/4/1941,8/14/1941,4/14/1942,Sunk,0,47.00,-18.14,44,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
253,U-253,VIIC,9/23/1939,11/15/1940,10/21/1941,8/30/1941,9/25/1942,Sunk,0,67.00,-23.00,45,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
254,U-254,VIIC,9/23/1939,12/14/1940,11/8/1941,9/20/1941,12/8/1942,Sunk,4,58.45,-33.02,41,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",3
255,U-255,VIIC,9/23/1939,12/21/1940,11/29/1941,10/8/1941,5/17/1945,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",10
256,U-256,VIIC,12/23/1939,2/15/1941,12/18/1941,10/28/1941,11/30/1942,Decommissioned,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
257,U-257,VIIC,12/23/1939,2/22/1941,1/14/1942,11/19/1941,2/24/1944,Sunk,19,47.19,-26.00,30,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
258,U-258,VIIC,12/23/1939,3/20/1941,2/4/1942,12/13/1941,5/20/1943,Sunk,0,55.18,-27.49,49,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
259,U-259,VIIC,12/23/1939,3/25/1941,2/18/1942,12/30/1941,11/15/1942,Sunk,0,37.20,3.05,48,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
260,U-260,VIIC,12/23/1939,5/7/1941,3/14/1942,2/9/1942,3/12/1945,Scuttled,48,51.29,-9.06,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
261,U-261,VIIC,12/23/1939,5/17/1941,3/28/1942,2/16/1942,9/15/1942,Sunk,0,59.50,-9.28,43,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
262,U-262,VIIC,8/15/1940,5/29/1941,4/15/1942,3/10/1942,12/19/1944,Damaged,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",3
263,U-263,VIIC,8/15/1940,6/8/1941,5/6/1942,3/18/1942,1/20/1944,Sunk,0,45.40,-3.00,51,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",2
264,U-264,VIIC,8/15/1940,6/21/1941,5/22/1942,4/2/1942,2/19/1944,Sunk,52,48.31,-22.05,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",3
265,U-265,VIIC,8/15/1940,7/3/1941,6/6/1942,4/23/1942,2/3/1943,Sunk,0,56.35,-22.49,46,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
266,U-266,VIIC,8/15/1940,8/1/1941,6/24/1942,5/11/1942,5/15/1943,Sunk,0,45.28,-10.20,47,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",4
267,U-267,VIIC,8/15/1940,8/9/1941,7/11/1942,5/23/1942,7/6/1944,Decommissioned,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
268,U-268,VIIC,1/20/1941,9/4/1941,7/29/1942,6/9/1942,2/19/1943,Sunk,0,47.03,-5.56,44,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
269,U-269,VIIC,1/20/1941,9/18/1941,8/19/1942,6/24/1942,6/25/1944,Sunk,39,49.56,-2.46,13,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
270,U-270,VIIC,1/20/1941,10/15/1941,9/5/1942,7/11/1942,6/25/1944,Decommissioned,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
271,U-271,VIIC,1/20/1941,10/21/1941,9/23/1942,7/29/1942,1/28/1944,Sunk,0,53.15,-15.52,51,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
272,U-272,VIIC,1/20/1941,11/28/1941,10/7/1942,8/15/1942,11/12/1942,Sunk,19,54.45,18.50,29,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
273,U-273,VIIC,1/20/1941,12/5/1941,10/21/1942,9/2/1942,5/19/1943,Sunk,0,59.25,-24.33,46,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
274,U-274,VIIC,4/10/1941,1/9/1942,11/7/1942,9/19/1942,10/23/1943,Sunk,0,57.14,-27.50,48,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
275,U-275,VIIC,4/10/1941,1/18/1942,11/25/1942,10/8/1942,3/10/1945,Sunk,0,50.36,0.04,48,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
276,U-276,VIIC,4/10/1941,2/24/1942,12/9/1942,10/24/1942,9/29/1944,Decommissioned,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
277,U-277,VIIC,4/10/1941,3/3/1942,12/21/1942,11/7/1942,5/1/1944,Sunk,0,73.24,15.32,50,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
278,U-278,VIIC,4/10/1941,3/26/1942,1/16/1943,12/2/1942,5/9/1945,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
279,U-279,VIIC,4/10/1941,3/31/1942,2/3/1943,12/16/1942,10/4/1943,Sunk,0,60.40,-26.30,48,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
280,U-280,VIIC,6/5/1941,4/30/1942,2/13/1943,1/4/1943,11/16/1943,Sunk,0,49.11,-27.32,49,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
281,U-281,VIIC,6/5/1941,5/7/1942,2/27/1943,1/16/1943,5/9/1945,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
282,U-282,VIIC,6/5/1941,6/2/1942,3/13/1943,2/3/1943,10/29/1943,Sunk,0,55.28,-31.57,48,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
283,U-283,VIIC,6/5/1941,6/10/1942,3/31/1943,2/17/1943,2/11/1944,Sunk,0,60.45,-12.50,49,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
284,U-284,VIIC,6/5/1941,7/1/1942,4/14/1943,3/6/1943,12/21/1943,Scuttled,49,55.04,-30.23,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
285,U-285,VIIC,6/5/1941,7/7/1942,5/15/1943,4/3/1943,4/15/1945,Sunk,0,50.13,-12.48,44,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
286,U-286,VIIC,6/5/1941,8/3/1942,6/5/1943,4/21/1943,4/29/1945,Sunk,0,69.29,33.37,51,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
287,U-287,VIIC,6/5/1941,8/8/1942,9/22/1943,8/13/1943,5/16/1945,Scuttled,44,53.50,8.50,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
288,U-288,VIIC,6/5/1941,9/7/1942,6/26/1943,5/15/1943,4/3/1944,Sunk,0,73.44,27.12,49,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
289,U-289,VIIC,6/5/1941,9/12/1942,7/10/1943,5/25/1943,5/31/1944,Sunk,0,73.32,0.28,51,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
290,U-290,VIIC,6/5/1941,10/12/1942,7/24/1943,6/16/1943,5/5/1945,Scuttled,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
291,U-291,VIIC,6/5/1941,10/17/1942,8/4/1943,6/30/1943,5/5/1945,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
292,U-292,VIIC/41,10/14/1941,11/12/1942,8/25/1943,7/20/1943,5/27/1944,Sunk,0,62.37,0.57,51,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
293,U-293,VIIC/41,10/14/1941,11/17/1942,9/8/1943,7/30/1943,5/11/1945,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
294,U-294,VIIC/41,10/14/1941,12/22/1942,10/4/1943,8/27/1943,5/9/1945,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
295,U-295,VIIC/41,10/14/1941,12/31/1942,10/20/1943,9/13/1943,5/9/1945,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",1
296,U-296,VIIC/41,10/14/1941,1/23/1943,11/3/1943,9/5/1943,3/12/1945,Sunk,0,55.30,-7.00,42,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
297,U-297,VIIC/41,10/14/1941,1/27/1943,11/17/1943,10/9/1943,12/6/1944,Sunk,0,59.00,-3.54,50,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
298,U-298,VIIC/41,3/23/1942,2/23/1943,12/1/1943,10/25/1943,5/9/1945,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
299,U-299,VIIC/41,3/23/1942,3/1/1943,12/15/1943,11/6/1943,5/9/1945,Surrendered,0,,,0,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",0
300,U-300,VIIC/41,3/23/1942,4/9/1943,12/29/1943,11/23/1943,2/22/1945,Sunk,41,36.29,-8.20,9,"Bremer Vulkan-Vegesacker Werft, Bremen-Vegesack",2
301,U-301,VIIC,8/6/1940,2/12/1941,5/9/1942,3/25/1942,1/21/1943,Sunk,0,41.27,7.04,45,"Flender Werke AG, Lubeck",0
302,U-302,VIIC,8/6/1940,4/2/1941,6/16/1942,4/25/1942,4/6/1944,Sunk,0,45.05,-35.11,51,"Flender Werke AG, Lubeck",3
303,U-303,VIIC,12/7/1940,6/14/1941,7/7/1942,5/16/1942,5/21/1943,Sunk,28,42.50,6.00,20,"Flender Werke AG, Lubeck",1
304,U-304,VIIC,12/7/1940,6/26/1941,8/5/1942,6/13/1942,5/28/1943,Sunk,0,54.50,-37.20,46,"Flender Werke AG, Lubeck",0
305,U-305,VIIC,1/20/1941,8/30/1941,9/17/1942,7/25/1942,1/16/1944,Sunk,0,,,51,"Flender Werke AG, Lubeck",2
306,U-306,VIIC,1/20/1941,9/16/1941,10/21/1942,8/29/1942,10/31/1943,Sunk,0,46.19,-20.44,51,"Flender Werke AG, Lubeck",1
307,U-307,VIIC,1/20/1941,11/5/1941,11/18/1942,9/30/1942,4/29/1945,Sunk,14,69.24,33.44,37,"Flender Werke AG, Lubeck",2
308,U-308,VIIC,1/20/1941,11/5/1941,12/23/1942,10/31/1942,6/4/1943,Sunk,0,64.28,-3.09,44,"Flender Werke AG, Lubeck",0
309,U-309,VIIC,6/5/1941,1/24/1942,1/27/1943,12/5/1942,2/16/1945,Sunk,0,58.09,-2.23,47,"Flender Werke AG, Lubeck",1
310,U-310,VIIC,6/5/1941,1/30/1942,2/24/1943,1/3/1943,5/9/1945,Surrendered,0,,,0,"Flender Werke AG, Lubeck",2
311,U-311,VIIC,6/5/1941,3/21/1942,3/23/1943,1/20/1943,4/22/1944,Sunk,0,52.09,-19.07,51,"Flender Werke AG, Lubeck",1
312,U-312,VIIC,6/5/1941,4/10/1942,4/21/1943,2/27/1943,5/9/1945,Surrendered,0,,,0,"Flender Werke AG, Lubeck",0
313,U-313,VIIC,8/25/1941,5/11/1942,5/20/1943,3/27/1943,5/9/1945,Surrendered,0,,,0,"Flender Werke AG, Lubeck",0
314,U-314,VIIC,8/25/1941,6/9/1942,6/10/1943,4/17/1943,1/30/1944,Sunk,0,73.40,27.20,49,"Flender Werke AG, Lubeck",0
315,U-315,VIIC,8/25/1941,7/7/1942,7/10/1943,5/29/1943,5/9/1945,Surrendered,0,,,0,"Flender Werke AG, Lubeck",1
316,U-316,VIIC,8/25/1941,8/11/1942,8/5/1943,6/19/1943,5/2/1945,Scuttled,0,53.59,10.56,0,"Flender Werke AG, Lubeck",0
317,U-317,VIIC/41,10/14/1941,9/12/1942,10/23/1943,9/1/1943,6/26/1944,Sunk,0,62.03,1.45,50,"Flender Werke AG, Lubeck",0
318,U-318,VIIC/41,10/14/1941,10/14/1942,11/13/1943,9/25/1943,5/9/1945,Surrendered,0,,,0,"Flender Werke AG, Lubeck",0
319,U-319,VIIC/41,10/14/1941,11/18/1942,12/4/1943,10/16/1943,7/15/1944,Sunk,0,57.40,4.26,51,"Flender Werke AG, Lubeck",0
320,U-320,VIIC/41,10/14/1941,12/1/1942,12/30/1943,11/6/1943,5/8/1945,Scuttled,0,61.32,1.53,0,"Flender Werke AG, Lubeck",0
321,U-321,VIIC/41,10/14/1941,1/21/1943,1/20/1944,11/27/1943,4/2/1945,Sunk,0,50.00,-12.57,41,"Flender Werke AG, Lubeck",0
322,U-322,VIIC/41,10/14/1941,2/13/1943,2/5/1944,12/18/1943,12/29/1944,Sunk,0,50.24,-2.26,52,"Flender Werke AG, Lubeck",1
323,U-323,VIIC/41,7/16/1942,3/12/1943,3/2/1944,1/12/1944,5/5/1945,Scuttled,0,53.30,8.30,0,"Flender Werke AG, Lubeck",0
324,U-324,VIIC/41,7/16/1942,3/24/1943,4/5/1944,2/12/1944,5/9/1945,Surrendered,0,,,0,"Flender Werke AG, Lubeck",0
325,U-325,VIIC/41,7/16/1942,4/13/1943,5/6/1944,3/25/1944,4/30/1945,Sunk,0,49.48,-5.12,52,"Flender Werke AG, Lubeck",0
326,U-326,VIIC/41,7/16/1942,4/26/1943,6/6/1944,4/22/1944,4/30/1945,Sunk,0,47.51,-6.46,43,"Flender Werke AG, Lubeck",0
327,U-327,VIIC/41,7/16/1942,4/15/1943,7/18/1944,5/27/1944,2/3/1945,Sunk,0,61.21,2.00,46,"Flender Werke AG, Lubeck",0
328,U-328,VIIC/41,7/16/1942,5/15/1943,9/19/1944,6/24/1944,5/9/1945,Surrendered,0,,,0,"Flender Werke AG, Lubeck",0
331,U-331,VIIC,9/23/1939,1/26/1940,3/31/1941,12/20/1940,11/17/1942,Sunk,17,37.05,2.27,32,"Nordseewerke, Emden",1
